id_inicio,player_name,team,minute,second,tipo_inicio,num_eventos,progressao_x,duracao_s,terminou_chute,xg_final,sucesso,dist_gol_defensor_proximo,dist_gol_atacante_avancado,diferencial_profundidade,num_defensores_entre_bola_gol,largura_linha_defensiva,dist_bola_gol,superioridade_terco_ofensivo,match_id,atac_fm_nome,atac_fm_sim,atac_match_ok,pace_atacante,acceleration_atacante,stamina_atacante,pace_defensor,acceleration_defensor,diferencial_pace,diferencial_acceleration
1ef33bc4-e663-4fc5-b4b5-aedf787de04d,Adrien Rabiot,France,25,51,Pass,11,71.1,8.0,False,0.0,False,80.19681175894148,83.65664947495102,-3.414433761140316,4.0,35.17325009076462,97.86138155574955,0.0,3869152,Adrien Rabiot,1.0,True,16.0,12.0,18.0,12.25,12.0,3.75,0.0
631705dd-048b-4a7c-b69d-4e422b3d588e,Theo Bernard François Hernández,France,87,37,Pass,6,62.3,7.0,False,0.0,False,107.7811345597479,99.20028260789415,6.097617969847576,3.0,26.78861028981097,110.70654903843766,0.0,3869152,Theo Hernández,0.622,True,18.0,17.0,16.0,12.25,12.0,5.75,5.0
563e5987-71b4-4dcb-82fa-4bed7e015329,Daley Blind,Netherlands,8,12,Interception,9,60.60000000000001,9.0,False,0.0,False,51.546410635597084,59.12966326598779,-7.248435741200829,6.0,24.40844533231253,75.95584243493057,0.0,3869117,Daley Blind,1.0,True,9.0,9.0,14.0,13.75,13.25,-4.75,-4.25
2aaad37f-0274-41e9-9f6f-d97609891ea3,Antonee Robinson,United States,49,48,Ball Recovery,7,22.799999999999997,3.0,False,0.0,False,101.47328054018439,91.0846304932586,9.073995158736572,3.0,21.42399218811976,111.56146288033337,0.0,3869117,Antonee Robinson,1.0,True,17.0,17.0,16.0,14.6,14.2,2.4000000000000004,2.8000000000000007
934bf595-74cd-41e5-8fa6-cff045efb615,José María Giménez de Vargas,Uruguay,56,11,Pass,5,91.5,10.0,False,0.0,False,77.56323193345642,78.32425671819395,-3.0902627052606135,7.0,37.43810972750668,98.21863366999156,0.0,3857270,Cristian de Vargas,0.609,True,7.0,6.0,6.0,11.666666666666666,11.666666666666666,-4.666666666666666,-5.666666666666666
83a5983b-b8a3-4f64-b45a-75321c3f8f35,Daniel Carvajal Ramos,Spain,56,49,Duel,9,60.8,9.0,False,0.0,False,96.86185319554772,98.14496897676793,-0.30212412805155964,7.0,15.1483919533405,119.27954560610969,0.0,3857263,Dani Carvajal,0.765,True,14.0,15.0,16.0,15.5,14.25,-1.5,0.75
58869941-1d4e-45a2-b23a-650fdc694f6d,Jordi Alba Ramos,Spain,62,59,Pass,6,60.6,2.0,False,0.0,False,,,,,,,,3857263,Jordi Alba,0.769,True,15.0,17.0,15.0,15.5,14.25,-0.5,2.75
33e0041c-d1be-4ff1-878e-5d27790ded05,Daniel Carvajal Ramos,Spain,70,53,Ball Recovery,10,95.6,15.0,False,0.0,False,94.01750645400435,105.21518058161577,-12.018012849231738,5.0,35.68036903419042,109.94707817854916,0.0,3857263,Dani Carvajal,0.765,True,14.0,15.0,16.0,15.5,14.25,-1.5,0.75
aa59a19a-d2b2-4fb7-ac33-e7fc9768656e,Lukas Klostermann,Germany,82,18,Ball Recovery,15,57.9,7.0,True,0.16441207,True,31.047329013454515,41.27827016083798,-10.326941546068952,7.0,25.82070846337905,64.84635687530951,-3.0,3857263,Lukas Klostermann,1.0,True,18.0,13.0,17.0,13.75,14.5,4.25,-1.5
bf9213cf-fc70-42d3-9abd-689c01c9773b,Jean-Charles Castelletto,Cameroon,59,27,Interception,23,99.60000000000001,20.0,True,0.05176351,False,96.31650234610481,88.53611557700383,11.713621476814652,3.0,12.179077557728483,107.5492910250923,0.0,3857259,Jean-Charles Castelletto,1.0,True,13.0,12.0,14.0,13.4,12.2,-0.40000000000000036,-0.1999999999999993
