id_inicio,player_name,team,minute,second,tipo_inicio,num_eventos,progressao_x,duracao_s,terminou_chute,xg_final,sucesso,dist_gol_defensor_proximo,dist_gol_atacante_avancado,diferencial_profundidade,num_defensores_entre_bola_gol,largura_linha_defensiva,dist_bola_gol,superioridade_terco_ofensivo,competicao,fm_edicao,match_id,atac_fm_nome,atac_fm_sim,atac_match_ok,pace_atacante,acceleration_atacante,stamina_atacante,pace_defensor,acceleration_defensor,diferencial_pace,diferencial_acceleration
c0d692c0-2269-476b-9a5b-50c227ba6c18,Pervis Josué Estupiñán Tenorio,Ecuador,38,33,Duel,11,78.1,12.0,False,0.0,False,93.88777671415625,95.08482228569663,4.036375805080482,2.0,42.0803155741792,102.62577648914527,0.0,World Cup 2022,2023,3857286,Pervis Estupiñán,0.696,True,15.0,15.0,18.0,13.2,13.8,1.8000000000000007,1.1999999999999993
555e4e0d-22a1-4957-878c-5a71e9054894,Pervis Josué Estupiñán Tenorio,Ecuador,50,9,Pass,19,53.400000000000006,11.0,False,0.0,False,56.339100449687436,53.03759529654452,-0.7453740216999876,8.0,24.153316397832384,75.5028476284173,0.0,World Cup 2022,2023,3857286,Pervis Estupiñán,0.696,True,15.0,15.0,18.0,13.2,13.8,1.8000000000000007,1.1999999999999993
c9ad8113-6860-43b8-ae34-84dbed59508b,Homam Alamin Ahmed,Qatar,88,55,Duel,5,36.400000000000006,7.0,False,0.0,False,107.38236891197474,101.07351304553993,7.37336205287005,2.0,10.560423719762,115.0572900775957,0.0,World Cup 2022,2023,3857286,Homam Ahmed,0.759,True,13.0,14.0,12.0,14.0,14.25,-1.0,-0.25
983eb1b1-e690-4915-9f7b-12691ec9568b,Woo-Young Jung,South Korea,5,31,Ball Recovery,8,48.5,6.0,False,0.0,False,67.76387709504128,72.44730098446499,-5.39875743450488,5.0,37.198492157923454,87.20693779740233,0.0,World Cup 2022,2023,3857299,Woo-yeong Jeong,0.815,True,15.0,15.0,14.0,13.75,14.25,1.25,0.75
baa9bb51-0c46-41f2-b6b8-32b5e5651cc5,Seung-Gyu Kim,South Korea,27,39,Ball Recovery,9,105.5,8.0,False,0.0,False,,,,,,,,World Cup 2022,2023,3857299,Seung-bin Kim,0.75,True,9.0,12.0,14.0,13.75,14.25,-4.75,-2.25
4deb5427-9d43-48ab-8b7a-42426caab483,Chang-Hoon Kwon,South Korea,37,22,Pass,8,37.49999999999999,5.0,False,0.0,False,,,,,,,,World Cup 2022,2023,3857299,Han Kyo-Won,0.667,True,15.0,15.0,13.0,13.75,14.25,1.25,0.75
ce0c68a1-96fd-402e-9626-d44c050cfda5,Lawrence Ati-Zigi,Ghana,48,29,Ball Recovery,7,103.0,25.0,False,0.0,False,92.91428440708845,94.9093564178903,1.2937551581718054,6.0,14.475812903635813,110.64067967976335,0.0,World Cup 2022,2023,3857299,Lawrence Zigi,0.897,True,8.0,9.0,8.0,13.25,13.25,-5.25,-4.25
cbf09ffb-c6a3-4d34-b85c-4052cb50404e,Moon-Hwan Kim,South Korea,45,9,Pass,10,64.6,7.0,False,0.0,False,61.30430445539476,66.45141922167392,-0.34038969148996756,4.0,12.006684579867596,91.08353308913748,0.0,World Cup 2022,2023,3857299,Kim Moon-Hwan,0.667,True,13.0,12.0,11.0,13.75,14.25,-0.75,-2.25
ec11bdb3-9657-4405-8de5-614a440a2061,Mohammed Kudus,Ghana,48,18,Ball Recovery,5,39.2,5.0,False,0.0,False,94.28100207714954,101.06478045908561,-4.409413607861836,2.0,16.580991060370614,101.06478120492815,0.0,World Cup 2022,2023,3857299,Mohammed Kudus,1.0,True,14.0,16.0,13.0,13.25,13.25,0.75,2.75
d4ebff56-4e44-4db3-9969-0d7293e4ca20,Tariq Lamptey,Ghana,67,8,Pass,13,19.599999999999994,4.0,False,0.0,False,81.9437404728808,80.40075173391847,6.174965448585901,4.0,57.185355574419546,92.62337717876628,0.0,World Cup 2022,2023,3857299,Tariq Lamptey,1.0,True,16.0,20.0,14.0,13.25,13.25,2.75,6.75
